name,price_cur,price_prev
"Колбаса ""Мясницкий ряд"" Праздничная, сырокопченая, 200г",299.90,
"Говядина тушеная ""Гродфуд"" 97,5% мяса, 338г",299.90,
"Говядина тушеная ""Первым Делом"" кусковая, 340г",33.99,
"Колбаса ""Стародворские колбасы"" Стародворская, вареная, 400г",99.99,199.90
"Колбаса ""Папа может"" Филейная, вареная, 400г",129.90,179.90
"Сардельки ""Первым Делом"" Традиционные, 400г",48.99,
Донат с начинкой со вкусом шоколада,49.99,
Донат с начинкой со вкусом клубники,49.99,
"Донат с клубничной начинкой ""Dooti Donuts"", 70г",59.90,
"Донат с шоколадным кремом и белой глазурью ""Dooti Donuts"", 67г",59.90,
"Донат с ягодной начинкой ""Dooti Donuts"", 70г",59.90,
"Салат ""Грин Крест"" Баварский с ветчиной, 300г",169.90,
"Борщ ""Мираторг"", 360г",159.90,
"Мясо томленое с гречневой кашей ""Натурбуфет"", 250г",179.90,
"Суп ""Мираторг"" Гороховый с копченостями, 360г",159.90,
"Плов с курицей, ""Домашний очаг"", 300г",179.90,
"Биточек из курицы с гречей, 280г",174.90,
"Мясо куриное по-французски с рисом, 270г",193.90,
"Котлета по-киевски с картофельным пюре, 410г",219.90,
"Сэндвич с индейкой, 120г",139.90,
"Котлета ""Пожарская"" с картофельным пюре, 250г",164.90,
"Шашлык куриный с картофелем зарумяненным, 280г",186.90,
"Отбивная из индейки с рисом, 210г",184.90,
"Шоколад белый Alpen Gold Max Fun Зимний ягодный микс, 150г",195.90,
"Шоколад молочный ""Milka"" с печеньем Oreo и клубникой, 92г",149.90,
"Шоколад ""Milka"" Bubbles молочный с капучино, 97г",89.99,129.90
"Шоколад ""Milka"" Bubbles молочный с бананово-йогуртовой начинкой, 97г",89.99,129.90
"Яйцо ""Kinder"" Сюрприз молочный шоколад, 20г",109.90,
"Паста ""Nutella"" ореховая с добавлением какао, 350г",299.90,569.90
"Печенье затяжное ""Яшкино"" с клубничным кремом, 182г",69.99,
"Шоколад ""Milka"" молочный с кокосом пористый, 97г",89.99,119.90
"Печенье ""Яшкино"" сдобное с вишневой начинкой, 137г",74.99,
"Шоколад ""Milka"" молочный с дробленным фундуком, 90г",69.99,129.90
"Шоколад молочный Milka Клубничный чизкейк, 300г",399.90,
"Шоколад ""Milka"" молочный с круглым печеньем Oreo, 92г",149.90,
"Пирожное ""Медвежонок Барни"" бисквитное со вкусом вареной сгущенки, 150г",99.99,165.90
"Шоколад ""Milka"" молочный с цельным миндалем, 90г",139.90,
"Конфеты ""А.Коркунов"" Ассорти шоколадные, 192г",269.90,579.90
"Пирожное ""Медвежонок Барни"" бисквитное с бананово-йогуртовой начинкой, 150г",99.99,138.90
"Конфеты ""Славянка"" Золотой Степ",399.90,599.90
"Батончик ""Snickers"" Super шоколадный с арахисом, 95г",49.99,72.99
"Вафли ""Яшкино"" глазированные хрустящие с орешками, 200г",84.99,
"Батончик ""Bounty"" шоколадный, 55г",49.99,
"Шоколад десертный ""Победа"" с коньяком, 250г",289.90,
"Пирожное ""Медвежонок Барни"" Абрикос, 150г",169.90,
"Конфеты Q со сливочной начинкой, миндалем и кокосом, 150г",269.90,
"Пельмени ""Бигбули""/""Бульмени"" Большие с говядиной и свининой, 900г",402.90,
"Пельмени ""Мясной дворик"" Северные, Халяль, 800г",359.90,
"Паштет Setra из куриной печени, 100г",89.99,
"Шоколад молочный ""Milka"" Миндаль и лесные ягоды, 85г",137.90,
"Шоколад белый Alpen Gold Max Fun Зимний ягодный микс, 150г",195.90,
"Шоколад ""Россия Щедрая Душа"" Российский горький 70%, 90г",102.90,
"Шоколад ""Россия Щедрая Душа"" Российский темный, 90г",102.90,
"Конфеты ""Milka"" с ореховой начинкой, 110г",319.90,
"Шоколад темный ""Россия - Щедрая душа!"" Фундук и печенье, 90/82г",102.90,
"Щупальца кальмара ""Балтийский берег"", в чесночном соусе, 210г",149.90,
"Шоколад темный ""Российский"" с миндалем, 90г",102.90,
"Кетчуп ""Heinz"" Томатный",366.90,
"Напиток соевый ""Nemoloko"" Barista Банан, 1л",129.90,
